date,new_orders,moving_avg_12
2009-11-01,202898.0,195718.91666666666
2009-12-01,204210.0,197245.83333333334
2010-01-01,196373.0,198660.08333333334
2010-02-01,195830.0,200102.41666666666
2010-03-01,225826.0,202990.5
2010-04-01,220528.0,205661.5
2010-05-01,220934.0,207756.75
2010-06-01,224013.0,209147.16666666666
2010-07-01,217389.0,210706.33333333334
2010-08-01,226178.0,212394.58333333334
2010-09-01,223963.0,213985.66666666666
2010-10-01,226946.0,215424.0
2010-11-01,224497.0,217223.91666666666
2010-12-01,228088.0,219213.75
2011-01-01,225126.0,221609.83333333334
2011-02-01,222313.0,223816.75
2011-03-01,259946.0,226660.08333333334
2011-04-01,255471.0,229572.0
2011-05-01,261545.0,232956.25
2011-06-01,262416.0,236156.5
2011-07-01,253860.0,239195.75
2011-08-01,265494.0,242472.08333333334
2011-09-01,256972.0,245222.83333333334
2011-10-01,254955.0,247556.91666666666
2011-11-01,249902.0,249674.0
2011-12-01,244808.0,251067.33333333334
2012-01-01,239873.0,252296.25
2012-02-01,245022.0,254188.66666666666
2012-03-01,266613.0,254744.25
2012-04-01,256948.0,254867.33333333334
2012-05-01,265544.0,255200.58333333334
2012-06-01,250964.0,254246.25
2012-07-01,251497.0,254049.33333333334
2012-08-01,267891.0,254249.08333333334
2012-09-01,258762.0,254398.25
2012-10-01,266988.0,255401.0
2012-11-01,252797.0,255642.25
2012-12-01,246247.0,255762.16666666666
2013-01-01,248577.0,256487.5
2013-02-01,245239.0,256505.58333333334
2013-03-01,263414.0,256239.0
2013-04-01,258847.0,256397.25
2013-05-01,269447.0,256722.5
2013-06-01,258660.0,257363.83333333334
2013-07-01,264486.0,258446.25
2013-08-01,270528.0,258666.0
2013-09-01,261613.0,258903.58333333334
2013-10-01,267521.0,258948.0
2013-11-01,253102.0,258973.41666666666
2013-12-01,253862.0,259608.0
2014-01-01,248502.0,259601.75
2014-02-01,243890.0,259489.33333333334
2014-03-01,267418.0,259823.0
2014-04-01,267226.0,260521.25
2014-05-01,271496.0,260692.0
2014-06-01,267238.0,261406.83333333334
2014-07-01,262813.0,261267.41666666666
2014-08-01,266303.0,260915.33333333334
2014-09-01,262218.0,260965.75
2014-10-01,259354.0,260285.16666666666
2014-11-01,240320.0,259220.0
2014-12-01,234938.0,257643.0
2015-01-01,218265.0,255123.25
2015-02-01,216884.0,252872.75
2015-03-01,239793.0,250570.66666666666
2015-04-01,236251.0,247989.41666666666
2015-05-01,238998.0,245281.25
2015-06-01,242602.0,243228.25
2015-07-01,233000.0,240743.83333333334
2015-08-01,233517.0,238011.66666666666
2015-09-01,230995.0,235409.75
2015-10-01,230033.0,232966.33333333334
2015-11-01,216074.0,230945.83333333334
2015-12-01,214754.0,229263.83333333334
2016-01-01,199600.0,227708.41666666666
2016-02-01,205014.0,226719.25
2016-03-01,226281.0,225593.25
2016-04-01,218025.0,224074.41666666666
2016-05-01,226577.0,223039.33333333334
2016-06-01,230404.0,222022.83333333334
2016-07-01,216508.0,220648.5
2016-08-01,229952.0,220351.41666666666
2016-09-01,226490.0,219976.0
2016-10-01,226087.0,219647.16666666666
2016-11-01,219118.0,219900.83333333334
2016-12-01,223418.0,220622.83333333334
2017-01-01,216282.0,222013.0
2017-02-01,212813.0,222662.91666666666
2017-03-01,236683.0,223529.75
2017-04-01,227205.0,224294.75
2017-05-01,237246.0,225183.83333333334
2017-06-01,235541.0,225611.91666666666
2017-07-01,226420.0,226437.91666666666
2017-08-01,240870.0,227347.75
2017-09-01,235614.0,228108.08333333334
2017-10-01,241389.0,229383.25
2017-11-01,237459.0,230911.66666666666
2017-12-01,233857.0,231781.58333333334
2018-01-01,232677.0,233147.83333333334
2018-02-01,224827.0,234149.0
2018-03-01,250821.0,235327.16666666666
2018-04-01,244731.0,236787.66666666666
2018-05-01,260773.0,238748.25
2018-06-01,256731.0,240514.08333333334
2018-07-01,250932.0,242556.75
2018-08-01,261401.0,244267.66666666666
2018-09-01,253071.0,245722.41666666666
2018-10-01,260869.0,247345.75
2018-11-01,242645.0,247777.91666666666
